Course Code;Course name;Type;Link Download
COMP6048;DataStructures;TM1;https://drive.google.com/file/d/1P6MqpfjR5v7mYTfL9FD2QBEnEtidw1cM/view?usp=sharing
COMP6048;DataStructures;UAP;https://drive.google.com/file/d/1YNnitJbKBX7OtxNubgA8haGASM52Vo7f/view?usp=sharing
COMP6051;WebProgramming;PRY;https://drive.google.com/file/d/1PUHWAl2IRoKM2Mp1qfsFYtToCrUD5_oA/view?usp=sharing
COMP6064;GeographicalInformationSystem;TM1;https://drive.google.com/file/d/1gIENH3yL3_razESu-f-LuoJjDKtm8p07/view?usp=sharing
COMP6064;GeographicalInformationSystem;UAP;https://drive.google.com/file/d/1-OpdgKCIIhutIvxf0iSit-RF8v6JTqhD/view?usp=sharing
COMP6114;PatternSoftwareDesign;PRY;https://drive.google.com/file/d/1-XoB99AxYy4kFmV-d7mp5cg-F2XnwDvb/view?usp=sharing
COMP6114;PatternSoftwareDesign;TM1;https://drive.google.com/file/d/15TQQVRZ3gyrnFBeZXkl0UsQUZzCqpehw/view?usp=sharing
COMP6115;ObjectOrientedAnalysis&Design;PRY;https://drive.google.com/file/d/1zsAG3KuUHm_XZ3ByTK_aRuMb5PrgeekZ/view?usp=sharing
COMP6115;ObjectOrientedAnalysis&Design;TM1;https://drive.google.com/file/d/1hbGxxwLTVeCMEHS6LXVCqtaskTYcwbHn/view?usp=sharing
COMP6119;DatabaseAdministration;TM1;https://drive.google.com/file/d/1-UZWLqFlO8aC1oVc5XwK9O2Y2nTFPW92/view?usp=sharing
COMP6119;DatabaseAdministration;UAP;https://drive.google.com/file/d/1jIL1LDpMtdIEMzv3SeHvvYqSIxitqETk/view?usp=sharing
COMP6122;FrameworkLayerArchitecture;TM1;https://drive.google.com/file/d/1-3mrWmys_SCM8vBRL9fh7Z9LqObHe5an/view?usp=sharing
COMP6122;FrameworkLayerArchitecture;TM2;https://drive.google.com/file/d/17m2GOR5kWntVDewdKEgsUWbqXxwSfu3q/view?usp=sharing
COMP6140;DataMining;TM1;https://drive.google.com/file/d/1AXzmIRJSCtyBcCpN7Pzf4egyV-XYWL25/view?usp=sharing
COMP6140;DataMining;UAP;https://drive.google.com/file/d/1J1izNWwmjB0_vPl5YX5LXeZ5ib8I4qF9/view?usp=sharing
COMP6153;OperatingSystem;TM1;https://drive.google.com/file/d/1gK_DFXnjqnFFd3X_JY5stDqui2EWyrBX/view?usp=sharing
COMP6153;OperatingSystem;UAP;https://drive.google.com/file/d/1qwKqqpYf6Y-27NBEWDmc-t_tRSD2kJvV/view?usp=sharing
COMP6232;HumanandComputerInteraction;PRY;https://drive.google.com/file/d/1uvq9RXDhCtdZ9KX-xF23X0mPdpleeHMA/view?usp=sharing
COMP6232;HumanandComputerInteraction;TM1;https://drive.google.com/file/d/1ZXW2GvuHJpM3W4v6HNMFv4K3nPajIyX6/view?usp=sharing
COMP6176;HumanandComputerInteraction;PRY;https://drive.google.com/file/d/1uvq9RXDhCtdZ9KX-xF23X0mPdpleeHMA/view?usp=sharing
COMP6176;HumanandComputerInteraction;TM1;https://drive.google.com/file/d/1ZXW2GvuHJpM3W4v6HNMFv4K3nPajIyX6/view?usp=sharing
